bsn,name,schulform_nummer,schulform_name,bezirk_nummer,bezirk_name,plz,adresse,lon,lat,n_schueler,n_bestanden,pct_bestanden,pct_fail,abischnitt
11K12,Paul-und-Charlotte-Kniese-Schule (Gemeinschaftsschule),3,ISS/Gemeinschaftsschulen,11,Lichtenberg,10319,Erich-Kurz-Str. 6-10,13.5177808,52.4989143,24,20,83.33,16.67,2.885
11Y02,Johann-Gottfried-Herder-Gymnasium,2,Gymnasien,11,Lichtenberg,10369,Franz-Jacob-Str. 8,13.4670723,52.52683589999999,128,127,99.22,0.7800000000000011,1.85905511811024
11Y05,Hans-und-Hilde-Coppi-Gymnasium,2,Gymnasien,11,Lichtenberg,10318,Römerweg 30-32,13.523232,52.4918639,104,100,96.15,3.8499999999999943,2.126
11Y09,Barnim-Gymnasium,2,Gymnasien,11,Lichtenberg,13057,Ahrensfelder Chaussee 41,13.5473439,52.5699029,138,137,99.28,0.7199999999999989,2.26569343065693
11Y10,Manfred-von-Ardenne-Gymnasium,2,Gymnasien,11,Lichtenberg,13055,Werneuchener Str. 27-28,13.4929919,52.5417543,118,99,83.9,16.099999999999994,2.43939393939394
11Y11,Immanuel-Kant-Gymnasium,2,Gymnasien,11,Lichtenberg,10317,Lückstr. 63,13.4895645,52.5020226,100,97,97,3,2.17628865979381
12B02,Emil-Fischer-Schule (OSZ Ernährung und Lebensmitteltechnik),1,berufliche Schulen,12,Reinickendorf,13437,Cyclopstr. 1-5,13.3303712,52.5979835,74,63,85.14,14.86,2.5047619047619
12K02,Bettina-von-Arnim-Schule,3,ISS/Gemeinschaftsschulen,12,Reinickendorf,13435,Senftenberger Ring 49,13.3542708,52.6016352,95,73,76.84,23.159999999999997,2.6
12K03,Max-Beckmann-Schule (Integrierte Sekundarschule),3,ISS/Gemeinschaftsschulen,12,Reinickendorf,13403,Auguste-Viktoria-Allee 37,13.31463,52.57153,99,87,87.88,12.120000000000005,2.69885057471264
12P03,Evangelische Schule Frohnau,4,Schulen in privater Trägerschaft,12,Reinickendorf,13465,Benediktinerstr. 11-19,13.2826636,52.63125110000001,61,61,100,0,1.61967213114754
12P04-Y,Katholische Schule Salvator,4,Schulen in privater Trägerschaft,12,Reinickendorf,13469,Fürst-Bismarck-Str. 8-10,13.31255,52.6090901,78,76,97.44,2.5600000000000023,2.24078947368421
12Y01,Friedrich-Engels-Gymnasium,2,Gymnasien,12,Reinickendorf,13407,Emmentaler Str. 67,13.3570471,52.5696643,103,97,94.17,5.829999999999998,2.38865979381443
12Y02,Europäisches Gymnasium Bertha-von-Suttner,2,Gymnasien,12,Reinickendorf,13409,Reginhardstr. 172,13.3687034,52.5714474,123,118,95.93,4.069999999999993,2.03389830508475
12Y03,Humboldt-Gymnasium,2,Gymnasien,12,Reinickendorf,13509,Hatzfeldtallee 2-4,13.28891,52.59176000000001,153,148,96.73,3.269999999999996,2.11689189189189
12Y04,Gabriele-von-Bülow-Gymnasium,2,Gymnasien,12,Reinickendorf,13509,Tile-Brügge-Weg 63,13.2965987,52.59220149999999,123,120,97.56,2.4399999999999977,2.29583333333333
12Y05,Georg-Herwegh-Gymnasium,2,Gymnasien,12,Reinickendorf,13467,Fellbacher Str. 18-19,13.3029475,52.6166632,92,89,96.74,3.260000000000005,2.32696629213483
12Y06,Schulfarm Insel Scharfenberg,2,Gymnasien,12,Reinickendorf,13505,Schwarzer Weg 101-105,13.2474008,52.5752341,53,52,98.11,1.8900000000000006,2.41923076923077
12Y07,Romain-Rolland-Gymnasium,2,Gymnasien,12,Reinickendorf,13469,Place Molière 4,13.3179276,52.5989581,114,107,93.86,6.140000000000001,2.28504672897196
12Y08,Thomas-Mann-Gymnasium,2,Gymnasien,12,Reinickendorf,13439,Königshorster Str. 10,13.3521806,52.5988294,113,102,90.27,9.730000000000004,2.67941176470588
